"","x1","x2","x3"
"1",-8.53,-5.49,-1
"2",2.03,1.63,1
"3",9.23,3.57,1
"4",9.53,-6.76,1
"5",-8.84,3.99,-1
"6",2.73,6.84,1
"7",-9.82,2.94,-1
"8",4.2,-3.56,1
"9",9.09,-3.88,1
"10",-1.08,-6.8,-1
"11",-4.58,1.39,-1
"12",9.85,-2.96,1
"13",4.01,-5.59,1
"14",-3.9,-8.33,-1
"15",6.02,-4.71,1
"16",-9.29,-5.32,-1
"17",-3.7,7.32,-1
"18",7.63,1.3,1
"19",-4.04,-9.13,-1
"20",-1.01,-9.47,-1
"21",5.67,1.08,1
"22",-5.66,-7.88,-1
"23",4.5,-0.38,1
"24",-4.78,9.96,-1
"25",6.45,-7.17,1
"26",-1.43,-2.14,-1
"27",1.82,-9.44,-1
"28",-8.59,10,-1
"29",6.16,9.36,1
"30",6.04,6.06,1
"31",-8.43,0.81,-1
"32",2.53,2.51,1
"33",2.82,7.72,1
"34",-7.05,1.34,-1
"35",-7.19,-6.82,-1
"36",7.92,-7.89,1
"37",-3.74,8.49,-1
"38",-0.43,3.92,1
"39",0.94,-3.36,-1
"40",7.19,-2.96,1
"41",6.25,-2.26,1
"42",-9.41,3.55,-1
"43",1.99,-7.01,-1
"44",0.92,-4.94,-1
"45",7.07,-3.5,1
"46",3.13,-4.34,-1
"47",7.95,4.67,1
"48",-7.37,3.37,-1
"49",-3.96,-2.53,-1
"50",-6.35,9.73,-1
